"Nome Parlamentar","Partido","UF","Titular/Suplente/Efetivado","Voto",,
"RITA CAMATA","PSDB","ES","T","Sim","PSDB:Sim","ES:Sim"
"ROBERTO ALVES","PTB","SP","E","Sim","PTB:Sim","SP:Sim"
"ROBERTO BALESTRA","PP","GO","T","Sim","PP:Sim","GO:Sim"
"ROBERTO BRITTO","PP","BA","T","Sim","PP:Sim","BA:Sim"
"ROBERTO MAGALHÃES","DEM","PE","T","Ausente","DEM:Ausente","PE:Ausente"
"ROBERTO ROCHA","PSDB","MA","T","Ausente","PSDB:Ausente","MA:Ausente"
"ROBERTO SANTIAGO","PV","SP","T","Sim","PV:Sim","SP:Sim"
"RODOVALHO","PP","DF","T","Ausente","PP:Ausente","DF:Ausente"
"RODRIGO DE CASTRO","PSDB","MG","T","Ausente","PSDB:Ausente","MG:Ausente"
"RODRIGO MAIA","DEM","RJ","T","Sim","DEM:Sim","RJ:Sim"
"RODRIGO ROCHA LOURES","PMDB","PR","T","Sim","PMDB:Sim","PR:Sim"
"RODRIGO ROLLEMBERG","PSB","DF","T","Ausente","PSB:Ausente","DF:Ausente"
"ROGERIO LISBOA","DEM","RJ","T","Ausente","DEM:Ausente","RJ:Ausente"
"ROGÉRIO MARINHO","PSDB","RN","T","Sim","PSDB:Sim","RN:Sim"
"RÔMULO GOUVEIA","PSDB","PB","T","Sim","PSDB:Sim","PB:Sim"
"RONALDO CAIADO","DEM","GO","T","Ausente","DEM:Ausente","GO:Ausente"
"ROSE DE FREITAS","PMDB","ES","T","Ausente","PMDB:Ausente","ES:Ausente"
"RUBENS OTONI","PT","GO","T","Ausente","PT:Ausente","GO:Ausente"
"SÁ","PR","RR","E","Ausente","PR:Ausente","RR:Ausente"
"SABINO CASTELO BRANCO","PTB","AM","T","Ausente","PTB:Ausente","AM:Ausente"
"SANDES JÚNIOR","PP","GO","T","Ausente","PP:Ausente","GO:Ausente"
"SANDRA ROSADO","PSB","RN","T","Ausente","PSB:Ausente","RN:Ausente"
"SANDRO MABEL","PR","GO","T","Ausente","PR:Ausente","GO:Ausente"
"SARAIVA FELIPE","PMDB","MG","T","Ausente","PMDB:Ausente","MG:Ausente"
"SARNEY FILHO","PV","MA","T","Ausente","PV:Ausente","MA:Ausente"
"SEBASTIÃO BALA ROCHA","PDT","AP","T","Sim","PDT:Sim","AP:Sim"
"SÉRGIO BARRADAS CARNEIRO","PT","BA","T","Sim","PT:Sim","BA:Sim"
"SÉRGIO BRITO","PSC","BA","T","Sim","PSC:Sim","BA:Sim"
"SÉRGIO MORAES","PTB","RS","T","Sim","PTB:Sim","RS:Sim"
"SERGIO PETECÃO","PMN","AC","T","Sim","PMN:Sim","AC:Sim"
"SEVERIANO ALVES","PMDB","BA","T","Sim","PMDB:Sim","BA:Sim"
"SILAS BRASILEIRO","PMDB","MG","E","Sim","PMDB:Sim","MG:Sim"
"SILAS CÂMARA","PSC","AM","T","Sim","PSC:Sim","AM:Sim"
"SILVIO COSTA","PTB","PE","E","Ausente","PTB:Ausente","PE:Ausente"
"SILVIO LOPES","PSDB","RJ","T","Abstenção","PSDB:Abstenção","RJ:Abstenção"
"SILVIO TORRES","PSDB","SP","T","Ausente","PSDB:Ausente","SP:Ausente"
"SIMÃO SESSIM","PP","RJ","T","Sim","PP:Sim","RJ:Sim"
"SOLANGE ALMEIDA","PMDB","RJ","T","Sim","PMDB:Sim","RJ:Sim"
"SOLANGE AMARAL","DEM","RJ","T","Sim","DEM:Sim","RJ:Sim"
"SUELI VIDIGAL","PDT","ES","T","Não","PDT:Não","ES:Não"
"SUELY","PR","RJ","T","Ausente","PR:Ausente","RJ:Ausente"
"TADEU FILIPPELLI","PMDB","DF","T","Sim","PMDB:Sim","DF:Sim"
"TAKAYAMA","PSC","PR","T","Não","PSC:Não","PR:Não"
"TATICO","PTB","GO","T","Ausente","PTB:Ausente","GO:Ausente"
"THELMA DE OLIVEIRA","PSDB","MT","T","Sim","PSDB:Sim","MT:Sim"
"THEMÍSTOCLES SAMPAIO","PMDB","PI","E","Ausente","PMDB:Ausente","PI:Ausente"
"TONHA MAGALHÃES","PR","BA","T","Ausente","PR:Ausente","BA:Ausente"
"ULDURICO PINTO","PHS","BA","E","Sim","PHS:Sim","BA:Sim"
"URZENI ROCHA","PSDB","RR","T","Ausente","PSDB:Ausente","RR:Ausente"
"VADÃO GOMES","PP","SP","T","Ausente","PP:Ausente","SP:Ausente"
"VALADARES FILHO","PSB","SE","T","Sim","PSB:Sim","SE:Sim"
"VALDEMAR COSTA NETO","PR","SP","T","Ausente","PR:Ausente","SP:Ausente"
"VALDIR COLATTO","PMDB","SC","T","Sim","PMDB:Sim","SC:Sim"
"VALTENIR PEREIRA","PSB","MT","T","Sim","PSB:Sim","MT:Sim"
"VANDER LOUBET","PT","MS","T","Não","PT:Não","MS:Não"
"VANDERLEI MACRIS","PSDB","SP","T","Sim","PSDB:Sim","SP:Sim"
"VANESSA GRAZZIOTIN","PCdoB","AM","T","Ausente","PCdoB:Ausente","AM:Ausente"
"VELOSO","PMDB","BA","T","Sim","PMDB:Sim","BA:Sim"
"VIC PIRES FRANCO","DEM","PA","T","Ausente","DEM:Ausente","PA:Ausente"
"VICENTE ARRUDA","PR","CE","T","Ausente","PR:Ausente","CE:Ausente"
"VICENTINHO","PT","SP","T","Sim","PT:Sim","SP:Sim"
"VICENTINHO ALVES","PR","TO","T","Ausente","PR:Ausente","TO:Ausente"
"VIEIRA DA CUNHA","PDT","RS","T","Sim","PDT:Sim","RS:Sim"
"VIGNATTI","PT","SC","T","Sim","PT:Sim","SC:Sim"
"VILSON COVATTI","PP","RS","T","Sim","PP:Sim","RS:Sim"
"VINICIUS CARVALHO","PTdoB","RJ","T","Sim","PTdoB:Sim","RJ:Sim"
"VIRGÍLIO GUIMARÃES","PT","MG","T","Sim","PT:Sim","MG:Sim"
"VITAL DO RÊGO FILHO","PMDB","PB","T","Sim","PMDB:Sim","PB:Sim"
"VITOR PENIDO","DEM","MG","T","Sim","DEM:Sim","MG:Sim"
"WALDEMIR MOKA","PMDB","MS","T","Sim","PMDB:Sim","MS:Sim"
"WALDIR MARANHÃO","PP","MA","T","Sim","PP:Sim","MA:Sim"
"WALTER IHOSHI","DEM","SP","T","Sim","DEM:Sim","SP:Sim"
"WALTER PINHEIRO","PT","BA","T","Sim","PT:Sim","BA:Sim"
"WANDENKOLK GONÇALVES","PSDB","PA","T","Ausente","PSDB:Ausente","PA:Ausente"
"WELLINGTON FAGUNDES","PR","MT","T","Sim","PR:Sim","MT:Sim"
"WELLINGTON ROBERTO","PR","PB","T","Sim","PR:Sim","PB:Sim"
"WILLIAM WOO","PPS","SP","T","Sim","PPS:Sim","SP:Sim"
"WILSON BRAGA","PMDB","PB","T","Sim","PMDB:Sim","PB:Sim"
"WILSON PICLER","PDT","PR","E","Sim","PDT:Sim","PR:Sim"
"WILSON SANTIAGO","PMDB","PB","T","Ausente","PMDB:Ausente","PB:Ausente"
"WLADIMIR COSTA","PMDB","PA","T","Sim","PMDB:Sim","PA:Sim"
"WOLNEY QUEIROZ","PDT","PE","T","Sim","PDT:Sim","PE:Sim"
"ZÉ GERALDO","PT","PA","T","Sim","PT:Sim","PA:Sim"
"ZÉ GERARDO","PMDB","CE","T","Sim","PMDB:Sim","CE:Sim"
"ZÉ VIEIRA","PR","MA","E","Sim","PR:Sim","MA:Sim"
"ZENALDO COUTINHO","PSDB","PA","T","Sim","PSDB:Sim","PA:Sim"
"ZEQUINHA MARINHO","PSC","PA","T","Ausente","PSC:Ausente","PA:Ausente"
"ZEZÉU RIBEIRO","PT","BA","T","Sim","PT:Sim","BA:Sim"
"ZONTA","PP","SC","T","Sim","PP:Sim","SC:Sim"
